id,published,lastModified,description,severity,cvssScore
CVE-1999-1311,1997-01-07T05:00:00.000,2025-04-03T01:03:51.193,Vulnerability in dtlogin and dtsession in HP-UX 10.20 and 10.10 allows local users to bypass authentication and gain privileges.,MEDIUM,
CVE-1999-1128,1997-03-01T05:00:00.000,2025-04-03T01:03:51.193,"Internet Explorer 3.01 on Windows 95 allows remote malicious web sites to execute arbitrary commands via a .isp file, which is automatically downloaded and executed without prompting the user.",MEDIUM,
CVE-1999-1525,1997-03-14T05:00:00.000,2025-04-03T01:03:51.193,Macromedia Shockwave before 6.0 allows a malicious webmaster to read a user's mail box and possibly access internal web servers via the GetNextText command on a Shockwave movie.,MEDIUM,
CVE-1999-0058,1997-04-17T04:00:00.000,2025-04-03T01:03:51.193,"Buffer overflow in PHP cgi program, php.cgi allows shell access.",HIGH,
CVE-1999-1380,1997-05-04T04:00:00.000,2025-04-03T01:03:51.193,"Symantec Norton Utilities 2.0 for Windows 95 marks the TUNEOCX.OCX ActiveX control as safe for scripting, which allows remote attackers to execute arbitrary commands via the run option through malicious web pages that are accessed by browsers such as Internet Explorer 3.0.",MEDIUM,
CVE-1999-0039,1997-05-06T04:00:00.000,2025-04-03T01:03:51.193,webdist CGI program (webdist.cgi) in SGI IRIX allows remote attackers to execute arbitrary commands via shell metacharacters in the distloc parameter.,HIGH,
CVE-1999-1067,1997-05-07T04:00:00.000,2025-04-03T01:03:51.193,"SGI MachineInfo CGI program, installed by default on some web servers, prints potentially sensitive system status information, which could be used by remote attackers for information gathering activities.",MEDIUM,
CVE-1999-1461,1997-05-07T04:00:00.000,2025-04-03T01:03:51.193,"inpview in InPerson on IRIX 5.3 through IRIX 6.5.10 trusts the PATH environmental variable to find and execute the ttsession program, which allows local users to obtain root access by modifying the PATH to point to a Trojan horse ttsession program.",HIGH,
CVE-1999-0031,1997-07-08T04:00:00.000,2025-04-03T01:03:51.193,"JavaScript in Internet Explorer 3.x and 4.x, and Netscape 2.x, 3.x and 4.x, allows remote attackers to monitor a user's web activities, aka the Bell Labs vulnerability.",LOW,
CVE-1999-0196,1997-07-08T04:00:00.000,2025-04-03T01:03:51.193,websendmail in Webgais 1.0 allows a remote user to access arbitrary files and execute arbitrary code via the receiver parameter ($VAR_receiver variable).,MEDIUM,
CVE-1999-0176,1997-07-10T04:00:00.000,2025-04-03T01:03:51.193,The Webgais program allows a remote user to execute arbitrary commands.,HIGH,
CVE-1999-1463,1997-07-10T04:00:00.000,2025-04-03T01:03:51.193,"Windows NT 4.0 before SP3 allows remote attackers to bypass firewall restrictions or cause a denial of service (crash) by sending improperly fragmented IP packets without the first fragment, which the TCP/IP stack incorrectly reassembles into a valid session.",MEDIUM,
CVE-1999-0146,1997-07-15T04:00:00.000,2025-04-03T01:03:51.193,"The campas CGI program provided with some NCSA web servers allows an attacker to execute arbitrary commands via encoded carriage return characters in the query string, as demonstrated by reading the password file.",HIGH,
CVE-1999-1068,1997-07-23T04:00:00.000,2025-04-03T01:03:51.193,"Oracle Webserver 2.1, when serving PL/SQL stored procedures, allows remote attackers to cause a denial of service via a long HTTP GET request.",MEDIUM,
CVE-1999-0238,1997-08-01T04:00:00.000,2025-04-03T01:03:51.193,php.cgi allows attackers to read any file on the system.,HIGH,
CVE-1999-1250,1997-08-19T04:00:00.000,2025-04-03T01:03:51.193,"Vulnerability in CGI program in the Lasso application by Blue World, as used on WebSTAR and other servers, allows remote attackers to read arbitrary files.",MEDIUM,
CVE-1999-0071,1997-09-01T04:00:00.000,2025-04-03T01:03:51.193,Apache httpd cookie buffer overflow for versions 1.1.1 and earlier.,HIGH,
CVE-1999-0177,1997-09-01T04:00:00.000,2025-04-03T01:03:51.193,The uploader program in the WebSite web server allows a remote attacker to execute arbitrary programs.,HIGH,
CVE-1999-1125,1997-09-19T04:00:00.000,2025-04-03T01:03:51.193,"Oracle Webserver 2.1 and earlier runs setuid root, but the configuration file is owned by the oracle account, which allows any local or remote attacker who obtains access to the oracle account to gain privileges or modify arbitrary files by modifying the configuration file.",HIGH,
CVE-1999-0267,1997-09-23T04:00:00.000,2025-04-03T01:03:51.193,Buffer overflow in NCSA HTTP daemon v1.3 allows remote command execution.,HIGH,
CVE-1999-0346,1997-10-16T04:00:00.000,2025-04-03T01:03:51.193,CGI PHP mlog script allows an attacker to read any file on the target server.,MEDIUM,
CVE-1999-0068,1997-10-19T04:00:00.000,2025-04-03T01:03:51.193,CGI PHP mylog script allows an attacker to read any file on the target server.,HIGH,
CVE-1999-0967,1997-11-01T05:00:00.000,2025-04-03T01:03:51.193,"Buffer overflow in the HTML library used by Internet Explorer, Outlook Express, and Windows Explorer via the res: local resource protocol.",HIGH,
CVE-1999-0239,1998-01-01T05:00:00.000,2025-04-03T01:03:51.193,"Netscape FastTrack Web server lists files when a lowercase ""get"" command is used instead of an uppercase GET.",MEDIUM,
CVE-1999-0279,1998-01-01T05:00:00.000,2025-04-03T01:03:51.193,Excite for Web Servers (EWS) allows remote command execution via shell metacharacters.,HIGH,
CVE-1999-0264,1998-01-27T05:00:00.000,2025-04-03T01:03:51.193,htmlscript CGI program allows remote read access to files.,MEDIUM,
CVE-1999-0012,1998-02-06T05:00:00.000,2025-04-09T19:15:43.647,Some web servers under Microsoft Windows allow remote attackers to bypass access restrictions for files with long file names.,MEDIUM,
CVE-1999-1207,1998-02-18T05:00:00.000,2025-04-03T01:03:51.193,"Buffer overflow in web-admin tool in NetXRay 2.6 allows remote attackers to cause a denial of service, and possibly execute arbitrary commands, via a long HTTP request.",HIGH,
CVE-1999-0537,1998-04-01T05:00:00.000,2025-04-03T01:03:51.193,"A configuration in a web browser such as Internet Explorer or Netscape Navigator allows execution of active content such as ActiveX, Java, Javascript, etc.",HIGH,
CVE-1999-1151,1998-06-03T04:00:00.000,2025-04-03T01:03:51.193,"Compaq/Microcom 6000 Access Integrator does not cause a session timeout after prompting for a username or password, which allows remote attackers to cause a denial of service by connecting to the integrator without providing a username or password.",MEDIUM,
CVE-1999-1178,1998-06-10T04:00:00.000,2025-04-03T01:03:51.193,Sambar Server 4.1 beta allows remote attackers to obtain sensitive information about the server via an HTTP request for the dumpenv.pl script.,MEDIUM,
CVE-1999-0007,1998-06-26T04:00:00.000,2025-04-03T01:03:51.193,Information from SSL-encrypted sessions via PKCS #1.,MEDIUM,
CVE-1999-1556,1998-06-29T04:00:00.000,2025-04-03T01:03:51.193,"Microsoft SQL Server 6.5 uses weak encryption for the password for the SQLExecutiveCmdExec account and stores it in an accessible portion of the registry, which could allow local users to gain privileges by reading and decrypting the CmdExecAccount value.",HIGH,
CVE-1999-1150,1998-06-30T04:00:00.000,2025-04-03T01:03:51.193,"Livingston Portmaster routers running ComOS use the same initial sequence number (ISN) for TCP connections, which allows remote attackers to conduct spoofing and hijack TCP sessions.",HIGH,
CVE-1999-1437,1998-07-07T04:00:00.000,2025-04-03T01:03:51.193,ePerl 2.2.12 allows remote attackers to read arbitrary files and possibly execute certain commands by specifying a full pathname of the target file as an argument to bar.phtml.,HIGH,
CVE-1999-1447,1998-07-28T04:00:00.000,2025-04-03T01:03:51.193,Internet Explorer 4.0 allows remote attackers to cause a denial of service (crash) via HTML code that contains a long CLASSID parameter in an OBJECT tag.,MEDIUM,
CVE-1999-1283,1998-08-14T04:00:00.000,2025-04-03T01:03:51.193,Opera 3.2.1 allows remote attackers to cause a denial of service (application crash) via a URL that contains an extra / in the http:// tag.,MEDIUM,
CVE-1999-1416,1998-08-23T04:00:00.000,2025-04-03T01:03:51.193,AnswerBook2 (AB2) web server dwhttpd 3.1a4 allows remote attackers to cause a denial of service (resource exhaustion) via an HTTP POST request with a large content-length.,MEDIUM,
CVE-1999-1417,1998-08-23T04:00:00.000,2025-04-03T01:03:51.193,"Format string vulnerability in AnswerBook2 (AB2) web server dwhttpd 3.1a4 allows remote attackers to cause a denial of service and possibly execute arbitrary commands via encoded % characters in an HTTP request, which is improperly logged.",HIGH,
CVE-1999-1292,1998-09-01T04:00:00.000,2025-04-03T01:03:51.193,Buffer overflow in web administration feature of Kolban Webcam32 4.8.3 and earlier allows remote attackers to execute arbitrary commands via a long URL.,HIGH,
CVE-1999-0897,1998-09-09T04:00:00.000,2025-04-03T01:03:51.193,iChat ROOMS Webserver allows remote attackers to read arbitrary files via a .. (dot dot) attack.,MEDIUM,
CVE-1999-1154,1998-11-09T05:00:00.000,2025-04-03T01:03:51.193,LakeWeb Filemail CGI script allows remote attackers to execute arbitrary commands via shell metacharacters in the recipient email address.,HIGH,
CVE-1999-1155,1998-11-09T05:00:00.000,2025-04-03T01:03:51.193,LakeWeb Mail List CGI script allows remote attackers to execute arbitrary commands via shell metacharacters in the recipient email address.,HIGH,
CVE-1999-1025,1998-11-12T05:00:00.000,2025-04-03T01:03:51.193,"CDE screen lock program (screenlock) on Solaris 2.6 does not properly lock an unprivileged user's console session when the host is an NIS+ client, which allows others with physical access to login with any string.",MEDIUM,
CVE-1999-1071,1998-11-30T05:00:00.000,2025-04-03T01:03:51.193,"Excite for Web Servers (EWS) 1.1 installs the Architext.conf authentication file with world-writeable permissions, which allows local users to gain access to Excite accounts by modifying the file.",HIGH,
CVE-1999-1072,1998-11-30T05:00:00.000,2025-04-03T01:03:51.193,Excite for Web Servers (EWS) 1.1 allows local users to gain privileges by obtaining the encrypted password from the world-readable Architext.conf authentication file and replaying the encrypted password in an HTTP request to AT-generated.cgi or AT-admin.cgi.,HIGH,
CVE-1999-1073,1998-11-30T05:00:00.000,2025-04-03T01:03:51.193,"Excite for Web Servers (EWS) 1.1 records the first two characters of a plaintext password in the beginning of the encrypted password, which makes it easier for an attacker to guess passwords via a brute force or dictionary attack.",HIGH,
CVE-1999-0869,1998-12-01T05:00:00.000,2025-04-03T01:03:51.193,"Internet Explorer 3.x to 4.01 allows a remote attacker to insert malicious content into a frame of another web site, aka frame spoofing.",LOW,
CVE-1999-0139,1998-12-12T05:00:00.000,2025-04-03T01:03:51.193,Buffer overflow in Solaris x86 mkcookie allows local users to obtain root access.,HIGH,
CVE-1999-1277,1998-12-24T05:00:00.000,2025-04-03T01:03:51.193,"BackWeb client stores the username and password in cleartext for proxy authentication in the Communication registry key, which could allow other local users to gain privileges by reading the password.",MEDIUM,
CVE-1999-1188,1998-12-27T05:00:00.000,2025-04-03T01:03:51.193,"mysqld in MySQL 3.21 creates log files with world-readable permissions, which allows local users to obtain passwords for users who are added to the user database.",MEDIUM,
CVE-1999-0268,1999-01-01T05:00:00.000,2025-04-03T01:03:51.193,"MetaInfo MetaWeb web server allows users to upload, execute, and read scripts.",HIGH,
CVE-1999-0276,1999-01-01T05:00:00.000,2025-04-03T01:03:51.193,mSQL v2.0.1 and below allows remote execution through a buffer overflow.,HIGH,
CVE-1999-0283,1999-01-01T05:00:00.000,2025-04-03T01:03:51.193,The Java Web Server would allow remote users to obtain the source code for CGI programs.,HIGH,
CVE-1999-0286,1999-01-01T05:00:00.000,2025-04-03T01:03:51.193,"In some NT web servers, appending a space at the end of a URL may allow attackers to read source code for active pages.",HIGH,
CVE-1999-0395,1999-01-01T05:00:00.000,2025-04-03T01:03:51.193,A race condition in the BackWeb Polite Agent Protocol allows an attacker to spoof a BackWeb server.,MEDIUM,
CVE-1999-0448,1999-01-01T05:00:00.000,2025-04-03T01:03:51.193,"IIS 4.0 and Apache log HTTP request methods, regardless of how long they are, allowing a remote attacker to hide the URL they really request.",MEDIUM,
CVE-1999-0569,1999-01-01T05:00:00.000,2025-04-03T01:03:51.193,"A URL for a WWW directory allows auto-indexing, which provides a list of all files in that directory if it does not contain an index.html file.",HIGH,
CVE-1999-0571,1999-01-01T05:00:00.000,2025-04-03T01:03:51.193,A router's configuration service or management interface (such as a web server or telnet) is configured to allow connections from arbitrary hosts.,HIGH,
CVE-1999-0633,1999-01-01T05:00:00.000,2023-11-07T01:54:59.750,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: None.  Reason: this candidate is solely about a configuration that does not directly introduce security vulnerabilities, so it is more appropriate to cover under the Common Configuration Enumeration (CCE).  Notes: the former description is: ""The HTTP/WWW service is running.",,
CVE-1999-0652,1999-01-01T05:00:00.000,2023-11-07T01:55:00.253,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: None.  Reason: this candidate is solely about a configuration that does not directly introduce security vulnerabilities, so it is more appropriate to cover under the Common Configuration Enumeration (CCE).  Notes: the former description is: ""A database service is running, e.g. a SQL server, Oracle, or mySQL.",,
CVE-1999-1268,1999-01-06T05:00:00.000,2025-04-03T01:03:51.193,Vulnerability in KDE konsole allows local users to hijack or observe sessions of other users by accessing certain devices.,HIGH,
CVE-1999-1264,1999-01-21T05:00:00.000,2025-04-03T01:03:51.193,"WebRamp M3 router does not disable remote telnet or HTTP access to itself, even when access has been explicitly disabled.",HIGH,
CVE-1999-0347,1999-01-26T05:00:00.000,2025-04-03T01:03:51.193,"Internet Explorer 4.01 allows remote attackers to read local files and spoof web pages via a ""%01"" character in an ""about:"" Javascript URL, which causes Internet Explorer to use the domain specified after the character.",HIGH,
CVE-1999-0360,1999-01-30T05:00:00.000,2025-04-03T01:03:51.193,"MS Site Server 2.0 with IIS 4 can allow users to upload content, including ASP, to the target web site, thus allowing them to execute commands remotely.",HIGH,
CVE-1999-1453,1999-02-02T05:00:00.000,2025-04-03T01:03:51.193,Internet Explorer 4 allows remote attackers (malicious web site operators) to read the contents of the clipboard via the Internet WebBrowser ActiveX object.,LOW,
CVE-1999-1260,1999-02-15T05:00:00.000,2025-04-03T01:03:51.193,"mSQL (Mini SQL) 2.0.6 allows remote attackers to obtain sensitive server information such as logged users, database names, and server version via the ServerStats query.",HIGH,
CVE-1999-0375,1999-02-16T05:00:00.000,2025-04-03T01:03:51.193,Buffer overflow in webd in Network Flight Recorder (NFR) 2.0.2-Research allows remote attackers to execute commands.,HIGH,
CVE-1999-1180,1999-02-16T05:00:00.000,2025-04-03T01:03:51.193,O'Reilly WebSite 1.1e and Website Pro 2.0 allows remote attackers to execute arbitrary commands via shell metacharacters in an argument to (1) args.cmd or (2) args.bat.,MEDIUM,
CVE-1999-0412,1999-02-19T05:00:00.000,2025-04-03T01:03:51.193,"In IIS and other web servers, an attacker can attack commands as SYSTEM if the server is running as SYSTEM and loading an ISAPI extension.",HIGH,
CVE-1999-0378,1999-02-22T05:00:00.000,2025-04-03T01:03:51.193,InterScan VirusWall for Solaris doesn't scan files for viruses when a single HTTP request includes two GET commands.,MEDIUM,
CVE-1999-0379,1999-02-22T05:00:00.000,2025-04-03T01:03:51.193,Microsoft Taskpads allows remote web sites to execute commands on the visiting user's machine via certain methods that are marked as Safe for Scripting.,HIGH,
CVE-1999-0408,1999-02-25T05:00:00.000,2025-04-03T01:03:51.193,"Files created from interactive shell sessions in Cobalt RaQ microservers (e.g. .bash_history) are world readable, and thus are accessible from the web server.",HIGH,
CVE-1999-0222,1999-03-01T05:00:00.000,2025-04-03T01:03:51.193,Denial of service in Cisco IOS web server allows attackers to reboot the router using a long URL.,MEDIUM,
CVE-1999-0386,1999-03-01T05:00:00.000,2025-04-03T01:03:51.193,Microsoft Personal Web Server and FrontPage Personal Web Server in some Windows systems allows a remote attacker to read files on the server by using a nonstandard URL.,MEDIUM,
CVE-1999-0437,1999-03-01T05:00:00.000,2025-04-03T01:03:51.193,Remote attackers can perform a denial of service in WebRamp systems by sending a malicious string to the HTTP port.,MEDIUM,
CVE-1999-0438,1999-03-01T05:00:00.000,2025-04-03T01:03:51.193,"Remote attackers can perform a denial of service in WebRamp systems by sending a malicious UDP packet to port 5353, changing its IP address.",MEDIUM,
CVE-1999-0440,1999-03-01T05:00:00.000,2025-04-03T01:03:51.193,The byte code verifier component of the Java Virtual Machine (JVM) allows remote execution through malicious web pages.,HIGH,
CVE-1999-1567,1999-03-08T05:00:00.000,2025-04-03T01:03:51.193,Seapine Software TestTrack server allows a remote attacker to cause a denial of service (high CPU) via (1) TestTrackWeb.exe and (2) ttcgi.exe by connecting to port 99 and disconnecting without sending any data.,MEDIUM,
CVE-1999-0415,1999-03-11T05:00:00.000,2025-04-03T01:03:51.193,"The HTTP server in Cisco 7xx series routers 3.2 through 4.2 is enabled by default, which allows remote attackers to change the router's configuration.",HIGH,
CVE-1999-0428,1999-03-22T05:00:00.000,2025-04-03T01:03:51.193,OpenSSL and SSLeay allow remote attackers to reuse SSL sessions and bypass access controls.,HIGH,
CVE-2000-0153,1999-03-26T05:00:00.000,2025-04-03T01:03:51.193,FrontPage Personal Web Server (PWS) allows remote attackers to read files via a .... (dot dot) attack.,MEDIUM,
CVE-1999-1559,1999-03-31T05:00:00.000,2025-04-03T01:03:51.193,"Xylan OmniSwitch before 3.2.6 allows remote attackers to bypass the login prompt via a CTRL-D (control d) character, which locks other users out of the switch because it only supports one session at a time.",MEDIUM,
CVE-1999-0467,1999-04-01T05:00:00.000,2025-04-03T01:03:51.193,"The Webcom CGI Guestbook programs wguest.exe and rguest.exe allow a remote attacker to read arbitrary files using the ""template"" parameter.",MEDIUM,
CVE-1999-0469,1999-04-01T05:00:00.000,2025-04-03T01:03:51.193,"Internet Explorer 5.0 allows window spoofing, allowing a remote attacker to spoof a legitimate web site and capture information from the client.",MEDIUM,
CVE-1999-0610,1999-04-01T05:00:00.000,2025-04-03T01:03:51.193,An incorrect configuration of the Webcart CGI program could disclose private information.,MEDIUM,
CVE-1999-0474,1999-04-05T04:00:00.000,2025-04-03T01:03:51.193,The ICQ Webserver allows remote attackers to use .. to access arbitrary files outside of the user's personal directory.,MEDIUM,
CVE-1999-0604,1999-04-20T04:00:00.000,2025-04-03T01:03:51.193,"An incorrect configuration of the WebStore 1.0 shopping cart CGI program ""web_store.cgi"" could disclose private information.",MEDIUM,
CVE-1999-0607,1999-04-20T04:00:00.000,2025-04-03T01:03:51.193,"quikstore.cgi in QuikStore shopping cart stores quikstore.cfg under the web document root with insufficient access control, which allows remote attackers to obtain the cleartext administrator password and gain privileges.",MEDIUM,
CVE-1999-0490,1999-04-21T04:00:00.000,2025-04-03T01:03:51.193,MSHTML.DLL in Internet Explorer 5.0 allows a remote attacker to learn information about a local user's files via an IMG SRC tag.,HIGH,
CVE-1999-0487,1999-05-01T04:00:00.000,2025-04-03T01:03:51.193,The DHTML Edit ActiveX control in Internet Explorer allows remote attackers to read arbitrary files.,LOW,
CVE-1999-1418,1999-05-01T04:00:00.000,2025-04-03T01:03:51.193,"ICQ99 ICQ web server build 1701 with ""Active Homepage"" enabled generates allows remote attackers to determine the existence of files on the server by comparing server responses when a file exists (""404 Forbidden"") versus when a file does not exist (""404 not found"").",MEDIUM,
CVE-1999-1241,1999-05-06T04:00:00.000,2025-04-03T01:03:51.193,"Internet Explorer, with a security setting below Medium, allows remote attackers to execute arbitrary commands via a malicious web page that uses the FileSystemObject ActiveX object.",HIGH,
CVE-1999-1367,1999-05-06T04:00:00.000,2025-04-03T01:03:51.193,"Internet Explorer 5.0 does not properly reset the username/password cache for Web sites that do not use standard cache controls, which could allow users on the same system to access restricted web sites that were visited by other users.",MEDIUM,
CVE-1999-1033,1999-05-11T04:00:00.000,2025-04-03T01:03:51.193,"Microsoft Outlook Express before 4.72.3612.1700 allows a malicious user to send a message that contains a .., which can inadvertently cause Outlook to re-enter POP3 command mode and cause the POP3 session to hang.",MEDIUM,
CVE-1999-1520,1999-05-11T04:00:00.000,2025-04-03T01:03:51.193,"A configuration problem in the Ad Server Sample directory (AdSamples) in Microsoft Site Server 3.0 allows an attacker to obtain the SITE.CSC file, which exposes sensitive SQL database information.",MEDIUM,
CVE-1999-0776,1999-05-12T04:00:00.000,2025-04-03T01:03:51.193,Alibaba HTTP server allows remote attackers to read files via a .. (dot dot) attack.,MEDIUM,
CVE-1999-0489,1999-05-17T04:00:00.000,2025-04-03T01:03:51.193,"MSHTML.DLL in Internet Explorer 5.0 allows a remote attacker to paste a file name into the file upload intrinsic control, a variant of ""untrusted scripted paste"" as described in MS:MS98-013.",HIGH,
CVE-1999-1030,1999-05-19T04:00:00.000,2025-04-03T01:03:51.193,"counter.exe 2.70 allows a remote attacker to cause a denial of service (hang) via an HTTP request that ends in %0A (newline), which causes a malformed entry in the counter log that produces an access violation.",MEDIUM,
CVE-1999-0928,1999-05-23T04:00:00.000,2025-04-03T01:03:51.193,Buffer overflow in SmartDesk WebSuite allows remote attackers to cause a denial of service via a long URL.,MEDIUM,
CVE-1999-0762,1999-05-24T04:00:00.000,2025-04-03T01:03:51.193,"When Javascript is embedded within the TITLE tag, Netscape Communicator allows a remote attacker to use the ""about"" protocol to gain access to browser information.",LOW,
CVE-1999-0771,1999-05-26T04:00:00.000,2025-04-03T01:03:51.193,The web components of Compaq Management Agents and the Compaq Survey Utility allow a remote attacker to read arbitrary files via a .. (dot dot) attack.,MEDIUM,
CVE-1999-1412,1999-06-03T04:00:00.000,2025-04-03T01:03:51.193,"A possible interaction between Apple MacOS X release 1.0 and Apache HTTP server allows remote attackers to cause a denial of service (crash) via a flood of HTTP GET requests to CGI programs, which generates a large number of processes.",MEDIUM,
CVE-1999-0970,1999-06-05T04:00:00.000,2025-04-03T01:03:51.193,The OmniHTTPD visadmin.exe program allows a remote attacker to conduct a denial of service via a malformed URL which causes a large number of temporary files to be created.,MEDIUM,
CVE-1999-0929,1999-06-16T04:00:00.000,2025-04-03T01:03:51.193,Novell NetWare with Novell-HTTP-Server or YAWN web servers allows remote attackers to conduct a denial of service via a large number of HTTP GET requests.,MEDIUM,
CVE-1999-0731,1999-06-23T04:00:00.000,2025-04-03T01:03:51.193,The KDE klock program allows local users to unlock a session using malformed input.,MEDIUM,
CVE-1999-0938,1999-06-28T04:00:00.000,2025-04-03T01:03:51.193,MBone SDR Package allows remote attackers to execute commands via shell metacharacters in Session Initiation Protocol (SIP) messages.,HIGH,
CVE-2000-0353,1999-06-28T04:00:00.000,2025-04-03T01:03:51.193,"Pine 4.x allows a remote attacker to execute arbitrary commands via an index.html file which executes lynx and obtains a uudecoded file from a malicious web server, which is then executed by Pine.",HIGH,
CVE-1999-0916,1999-06-29T04:00:00.000,2025-04-03T01:03:51.193,WebTrends software stores account names and passwords in a file which does not have restricted access permissions.,LOW,
CVE-1999-0889,1999-07-01T04:00:00.000,2025-04-03T01:03:51.193,Cisco 675 routers running CBOS allow remote attackers to establish telnet sessions if an exec or superuser password has not been set.,HIGH,
CVE-1999-1537,1999-07-07T04:00:00.000,2025-04-03T01:03:51.193,"IIS 3.x and 4.x does not distinguish between pages requiring encryption and those that do not, which allows remote attackers to cause a denial of service (resource exhaustion) via SSL requests to the HTTPS port for normally unencrypted files, which will cause IIS to perform extra work to send the files over SSL.",MEDIUM,
CVE-1999-0809,1999-07-09T04:00:00.000,2025-04-03T01:03:51.193,"Netscape Communicator 4.x with Javascript enabled does not warn a user of cookie settings, even if they have selected the option to ""Only accept cookies originating from the same server as the page being viewed"".",MEDIUM,
CVE-1999-1535,1999-07-20T04:00:00.000,2025-04-03T01:03:51.193,"Buffer overflow in AspUpload.dll in Persits Software AspUpload before 1.4.0.2 allows remote attackers to cause a denial of service, and possibly execute arbitrary commands, via a long argument in the HTTP request.",HIGH,
CVE-1999-0710,1999-07-25T04:00:00.000,2025-04-03T01:03:51.193,"The Squid package in Red Hat Linux 5.2 and 6.0, and other distributions, installs cachemgr.cgi in a public web directory, which allows remote attackers to use it as an intermediary to connect to other systems.",HIGH,
CVE-1999-1130,1999-07-30T04:00:00.000,2025-04-03T01:03:51.193,"Default configuration of the search engine in Netscape Enterprise Server 3.5.1, and possibly other versions, allows remote attackers to read the source of JHTML files by specifying a search command using the HTML-tocrec-demo1.pat pattern file.",MEDIUM,
CVE-1999-0677,1999-08-03T04:00:00.000,2025-04-03T01:03:51.193,The WebRamp web administration utility has a default password.,HIGH,
CVE-1999-0867,1999-08-11T04:00:00.000,2025-04-03T01:03:51.193,Denial of service in IIS 4.0 via a flood of HTTP requests with malformed headers.,MEDIUM,
CVE-1999-0753,1999-08-17T04:00:00.000,2025-04-03T01:03:51.193,The w3-msql CGI script provided with Mini SQL allows remote attackers to view restricted directories.,HIGH,
CVE-1999-1565,1999-08-20T04:00:00.000,2025-04-03T01:03:51.193,Man2html 2.1 and earlier allows local users to overwrite arbitrary files via a symlink attack on a temporary file.,MEDIUM,
CVE-2000-1206,1999-08-20T04:00:00.000,2025-04-03T01:03:51.193,"Vulnerability in Apache httpd before 1.3.11, when configured for mass virtual hosting using mod_rewrite, or mod_vhost_alias in Apache 1.3.9, allows remote attackers to retrieve arbitrary files.",MEDIUM,
CVE-2000-0328,1999-08-24T04:00:00.000,2025-04-03T01:03:51.193,"Windows NT 4.0 generates predictable random TCP initial sequence numbers (ISN), which allows remote attackers to perform spoofing and session hijacking.",MEDIUM,
CVE-1999-1016,1999-08-27T04:00:00.000,2025-04-03T01:03:51.193,"Microsoft HTML control as used in (1) Internet Explorer 5.0, (2) FrontPage Express, (3) Outlook Express 5, and (4) Eudora, and possibly others, allows remote malicious web site or HTML emails to cause a denial of service (100% CPU consumption) via large HTML form fields such as text inputs in a table cell.",MEDIUM,
CVE-1999-0910,1999-09-10T04:00:00.000,2025-04-03T01:03:51.193,"Microsoft Site Server and Commercial Internet System (MCIS) do not set an expiration for a cookie, which could then be cached by a proxy and inadvertently used by a different user.",MEDIUM,
CVE-1999-0687,1999-09-13T04:00:00.000,2025-04-03T01:03:51.193,"The ToolTalk ttsession daemon uses weak RPC authentication, which allows a remote attacker to execute commands.",HIGH,
CVE-1999-0750,1999-09-13T04:00:00.000,2025-04-03T01:03:51.193,"Hotmail allows Javascript to be executed via the HTML STYLE tag, allowing remote attackers to execute commands on the user's Hotmail account.",MEDIUM,
